Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Type d'événement;Date de début;Date de fin ;Mesures de gestion
2020;Auvergne-Rhône-Alpes;001;FRK2101010D001530;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101053D001570;saison balnéaire;23/06/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101058D001580;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101087D001600;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101099D001150;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101099D001605;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101123D001607;saison balnéaire;13/06/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101143D001620;saison balnéaire;01/07/2020;06/09/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101143D001620;pollution à court terme;16/07/2020;20/07/2020;pollution ponctuelle, le prélèvement de recontrôle révèle un respect des valeurs guides et impératives
2020;Auvergne-Rhône-Alpes;001;FRK2101184D001110;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101204D001631;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101229D001650;saison balnéaire;27/06/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101239D001320;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101269D001660;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101269D001661;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101302D001670;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101304D001130;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101305D001210;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101314D001140;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101314D001140;site inaccessible;06/07/2020;31/08/2020;interdiction pour des raisons de sécurités
2020;Auvergne-Rhône-Alpes;001;FRK2101378D001180;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101403D001328;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101407D001685;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101426D001690;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;001;FRK2101452D001700;saison balnéaire;01/07/2020;31/08/2020;
2020;Auvergne-Rhône-Alpes;003;FRK1103207D003042;interdiction de baignade;01/07/2020;31/08/2020;Compte tenu de l'état du plan d'eau au 01/07/2020 : remplissage insuffisant et mauvaise qualité de l'eau (présence de cyanobactéries) et de l'absence de surveillant de baignade, le maire a pris un arrêté interdisant la baignade pour la saison estivale.
2020;Auvergne-Rhône-Alpes;003;FRK1103207D003042;saison balnéaire;01/07/2020;31/08/2020;
