Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Précédent code;Nom du site de baignade;Date déclaration UE;Type d'eau;Longitude (ETRS 89);Latitude (ETRS 89)
2020;Auvergne-Rhône-Alpes;1;FRK2101010D001530;;PLAN D'EAU D'ANGLEFORT;01/07/2019;lac;5.81196;45.90462
2020;Auvergne-Rhône-Alpes;1;FRK2101053D001570;;BOURG EN BRESSE - PLAN D'EAU DU PARC DE LOISIRS DE BOUVENT;01/01/1992;lac;5.2613;46.1892
2020;Auvergne-Rhône-Alpes;1;FRK2101058D001580;;BREGNIER-CORDON - PLAN D'EAU COMMUNAL DE GLANDIEU;01/01/1992;lac;5.60949;45.6566
2020;Auvergne-Rhône-Alpes;1;FRK2101087D001600;;CHARIX - LAC GENIN;01/01/1992;lac;5.69613;46.22021
2020;Auvergne-Rhône-Alpes;1;FRK2101099D001150;;CHAZEY-SUR-AIN - RIVE GAUCHE DE L'AIN EN AMONT DU PONT SUR L'AIN;01/01/1992;rivière;5.23397;45.90788
2020;Auvergne-Rhône-Alpes;1;FRK2101099D001605;;CHAZEY-SUR-AIN - PLAN D'EAU COMMUNAL EN AVAL DU PONT DE CHAZEY;01/01/1992;lac;5.23885;45.9024
2020;Auvergne-Rhône-Alpes;1;FRK2101123D001607;;CORMORANCHE/SAONE PLAN D'EAU DE LA BASE DE LOISIRS LA PIERRE THORION;01/01/1992;lac;4.8252;46.25298
2020;Auvergne-Rhône-Alpes;1;FRK2101143D001620;;DIVONNE-LES-BAINS - LAC DE DIVONNE;01/01/1992;lac;6.14946;46.35402
2020;Auvergne-Rhône-Alpes;1;FRK2101184D001110;;HAUTECOURT-ROMANECHE - PLAGE DE L'ILE CHAMBOD RIVIERE D'AIN;01/01/1992;rivière;5.43237;46.12943
2020;Auvergne-Rhône-Alpes;1;FRK2101204D001631;;PLAN D'EAU DE LE POIZAT - LALLEYRIAT;01/06/2019;lac;5.71342;46.15129
2020;Auvergne-Rhône-Alpes;1;FRK2101229D001650;;MALAFRETAZ - PLAN D'EAU DE LA BASE DE PLEIN AIR LA PLAINE TONIQUE;01/01/2003;lac;5.139;46.34089
2020;Auvergne-Rhône-Alpes;1;FRK2101239D001320;;MASSIGNIEU DE RIVES - PLAGE DU LIT AU ROI CANAL DU RHONE;01/01/1992;rivière;5.76904;45.76868
2020;Auvergne-Rhône-Alpes;1;FRK2101269D001660;;NANTUA - PLAGE DU STADE NAUTIQUE LAC DE NANTUA;01/01/1992;lac;5.59743;46.16149
2020;Auvergne-Rhône-Alpes;1;FRK2101269D001661;;LAC DE NANTUA -  PLAGE DE LA COLONNE;29/06/2019;lac;5.59757;46.15505
2020;Auvergne-Rhône-Alpes;1;FRK2101302D001670;;POLLIEU - PLAGE DU LAC DE BARTERAND;01/01/1992;lac;5.74637;45.78677
2020;Auvergne-Rhône-Alpes;1;FRK2101304D001130;;PONT D'AIN - RIVE GAUCHE DE L'AIN EN AMONT DU PONT SUR L'AIN;01/01/1992;rivière;5.33848;46.04781
2020;Auvergne-Rhône-Alpes;1;FRK2101305D001210;;PONT-DE-VAUX - RIVE GAUCHE DE LA SAONE EN AVAL DU PONT DE FLEURVILLE;01/01/1992;rivière;4.89695;46.44726
2020;Auvergne-Rhône-Alpes;1;FRK2101314D001140;;PRIAY - RIVE GAUCHE DE L'AIN EN AMONT DU PONT;01/01/1992;rivière;5.29651;46.00481
2020;Auvergne-Rhône-Alpes;1;FRK2101378D001180;;ST-MAURICE-DE-GOURDANS - RIVE DROITE DE L'AIN CAMPING;01/07/2010;rivière;5.18733;45.8076
2020;Auvergne-Rhône-Alpes;1;FRK2101403D001328;;SERRIERES DE BRIORD - PLAGE DU POINT VERT RIVE DROITE DU RHONE;01/01/1999;rivière;5.42654;45.81735
2020;Auvergne-Rhône-Alpes;1;FRK2101407D001685;;SEYSSEL - PLAN D'EAU LES GOUILLES;01/01/1992;lac;5.83315;45.94928
2020;Auvergne-Rhône-Alpes;1;FRK2101426D001690;;VAL-REVERMONT - PLAN D'EAU DE LA GRANGE DU PIN;01/01/1992;lac;5.35621;46.30421
2020;Auvergne-Rhône-Alpes;1;FRK2101452D001700;;VIRIEU LE GRAND - LAC DE VIRIEU;01/01/1992;lac;5.64163;45.82911
2020;Auvergne-Rhône-Alpes;3;FRK1103207D003042;;PLAN D'EAU COMMUNAL;01/01/1996;lac;3.80776;46.50605
2020;Auvergne-Rhône-Alpes;3;FRK1103221D003050;;ETANG DE ST-BONNET;01/01/1991;lac;2.68833;46.65523
2020;Auvergne-Rhône-Alpes;3;FRK1103288D003065;;ETANG D'HERCULAT;01/01/1991;lac;2.36582;46.35644
2020;Auvergne-Rhône-Alpes;3;FRK1103312D003090;;ETANG DE VIEURE;01/01/1991;lac;2.91058;46.50426
2020;Auvergne-Rhône-Alpes;7;FRK2207011D007355;;LE MAS AU PLAN D'EAU DU PAL;01/01/1991;rivière;4.35962;44.7204
2020;Auvergne-Rhône-Alpes;7;FRK2207012D007560;;L'EYSSE A LA PLAGE D'ARCENS;01/01/2001;rivière;4.32513;44.90012
2020;Auvergne-Rhône-Alpes;7;FRK2207023D007085;;L'ARDECHE AU PONT DE BALAZUC;01/01/1991;rivière;4.37096;44.51152
2020;Auvergne-Rhône-Alpes;7;FRK2207031D007275;;LE CHASSEZAC A LA PLAGE DE MAZET;01/07/2010;rivière;4.20013;44.39703
2020;Auvergne-Rhône-Alpes;7;FRK2207031D007280;;LE CHASSEZAC A LA PLAGE DE CHAULET;01/07/2010;rivière;4.21663;44.40546
2020;Auvergne-Rhône-Alpes;7;FRK2207050D007260;;LE CHASSEZAC AU PONT DU NASSIER;01/07/2015;rivière;4.10969;44.42326
2020;Auvergne-Rhône-Alpes;7;FRK2207058D007456;;LA LIGNE AU CAMPING LES RANCHISSES;01/01/2006;rivière;4.28503;44.56139
2020;Auvergne-Rhône-Alpes;7;FRK2207061D007092;;L'ARDECHE A LA PLAGE PRIVEE ISLA COOL DOUCE;01/01/2003;rivière;4.35006;44.47503
2020;Auvergne-Rhône-Alpes;7;FRK2207064D007432;;L'EYRIEUX A LA PLAGE DU CHAMBAUD;01/07/2012;rivière;4.42028;44.91655
2020;Auvergne-Rhône-Alpes;7;FRK2207071D007910;;LE LAC DE COUCOURON;01/01/1991;lac;3.96051;44.80361
2020;Auvergne-Rhône-Alpes;7;FRK2207079D007605;;LE DOUX A LA PLAGE DES SALINS;01/01/1991;rivière;4.51264;44.99864
2020;Auvergne-Rhône-Alpes;7;FRK2207080D007405;;LE LAC DE DEVESSET;01/01/1991;lac;4.39396;45.05159
2020;Auvergne-Rhône-Alpes;7;FRK2207082D007505;;LA DORNE A LA PLAGE DE LA GANDOLE;01/01/1991;rivière;4.34565;44.85003
2020;Auvergne-Rhône-Alpes;7;FRK2207083D007450;;L'EYRIEUX AU LIEU DIT CELAS;01/01/1999;rivière;4.66577;44.82152
2020;Auvergne-Rhône-Alpes;7;FRK2207096D007540;;LA GLUEYRE A LA PLAGE DE FONTUGNE;01/07/2010;rivière;4.56554;44.82235
2020;Auvergne-Rhône-Alpes;7;FRK2207107D007030;;LE LIGNON AU LIEU DIT LA TURBINE;01/07/2010;rivière;4.25508;44.63988
2020;Auvergne-Rhône-Alpes;7;FRK2207110D007220;;LA BEAUME A LA PLAGE DU PETIT ROCHER;01/01/1991;rivière;4.23732;44.48635
2020;Auvergne-Rhône-Alpes;7;FRK2207114D007602;;LE DOUX A LA PLAGE DE LABATIE;01/01/1994;rivière;4.49596;45.02702
2020;Auvergne-Rhône-Alpes;7;FRK2207115D007235;;LA BEAUME A LA PLAGE DU VILLAGE DE LABEAUME;01/01/1991;rivière;4.30778;44.4484
2020;Auvergne-Rhône-Alpes;7;FRK2207115D007236;;LA BEAUME A LA PLAGE DE PEYROCHE;01/07/2010;rivière;4.32901;44.45002
2020;Auvergne-Rhône-Alpes;7;FRK2207119D007905;;LE LAC D'ISSARLES;01/01/1991;lac;4.06456;44.81645
2020;Auvergne-Rhône-Alpes;7;FRK2207123D007501;;LA SALIOUSE A LA PLAGE LA BACHASSE;01/07/2010;rivière;4.3298;44.94741
2020;Auvergne-Rhône-Alpes;7;FRK2207126D007330;;L'IBIE AU TROU DE LA LUNE;01/07/2019;rivière;4.44289;44.45738
2020;Auvergne-Rhône-Alpes;7;FRK2207127D007028;;L'ARDECHE A LA PLAGE DE LA CLAPE;01/01/2003;rivière;4.32599;44.6515
2020;Auvergne-Rhône-Alpes;7;FRK2207129D007610;;LE DOUX AU LIEU DIT LE RETOURTOUR;01/01/1991;rivière;4.56271;44.98946
2020;Auvergne-Rhône-Alpes;7;FRK2207146D007755;;LE MEZAYON AU LIEU DIT LA NEUVE;01/07/2010;rivière;4.58358;44.74359
2020;Auvergne-Rhône-Alpes;7;FRK2207167D007445;;L'EYRIEUX A LA PLAGE DE LA THEOULE;01/01/1991;rivière;4.61683;44.80404
2020;Auvergne-Rhône-Alpes;7;FRK2207192D007601;;LE DOUX A LA PLAGE DE ROCHEPAULE;01/01/2000;rivière;4.4824;45.08354
2020;Auvergne-Rhône-Alpes;7;FRK2207199D007004;;LA BEAUME A LA PLAGE DE LA TOURASSE;01/07/2010;rivière;4.25343;44.48023
2020;Auvergne-Rhône-Alpes;7;FRK2207201D007100;;L'ARDECHE A LA PLAGE DU STADE;01/07/2010;rivière;4.33545;44.45168
2020;Auvergne-Rhône-Alpes;7;FRK2207201D007123;;L'ARDECHE AU LIEU-DIT MOULIN DU GRAZEL;01/07/2019;rivière;4.34815;44.47698
2020;Auvergne-Rhône-Alpes;7;FRK2207237D007455;;L'EYRIEUX AU LIEU DIT LE PIGEONNIER;01/01/1991;rivière;4.68209;44.82855
2020;Auvergne-Rhône-Alpes;7;FRK2207247D007791;;LA CLADUEGNE AU PLAN D'EAU DU CAMPING DES ARCHES;01/07/2012;lac;4.5275;44.58883
2020;Auvergne-Rhône-Alpes;7;FRK2207259D007180;;L'ARDECHE A LA PLAGE DU PONT CASSE;01/01/1991;rivière;4.61748;44.27858
2020;Auvergne-Rhône-Alpes;7;FRK2207262D007001;;LA BORNE AU CAMPING LE CEYTROU;04/07/2016;rivière;3.98134;44.60069
2020;Auvergne-Rhône-Alpes;7;FRK2207267D007545;;LE LAC DE ST MARTIAL;01/01/1991;lac;4.27926;44.86679
2020;Auvergne-Rhône-Alpes;7;FRK2207268D007170;;L'ARDECHE A LA PLAGE DE SAUZE;01/01/1991;rivière;4.55198;44.3124
2020;Auvergne-Rhône-Alpes;7;FRK2207268D007175;;L'ARDECHE A LA PLAGE DU GRAIN DE SEL;01/01/1991;rivière;4.56139;44.30254
2020;Auvergne-Rhône-Alpes;7;FRK2207269D007502;;LA SALIOUSE A LA PLAGE DE ST MARTIN;01/01/1991;lac;4.36691;44.9415
2020;Auvergne-Rhône-Alpes;7;FRK2207304D007851;;L'ARDECHE AVAL PONT DE SALAVAS;01/07/2012;rivière;4.38549;44.39759
2020;Auvergne-Rhône-Alpes;7;FRK2207306D007789;;L'ARDECHE A LA PLAGE DE SAMPZON;01/01/2006;rivière;4.35469;44.42646
2020;Auvergne-Rhône-Alpes;7;FRK2207315D007342;;LE LIGNON A LA PLAGE COMMUNALE;01/01/1994;rivière;4.19797;44.62986
2020;Auvergne-Rhône-Alpes;7;FRK2207322D007010;;L'ARDECHE AU PONT DU DIABLE;01/01/1991;rivière;4.22138;44.67128
2020;Auvergne-Rhône-Alpes;7;FRK2207330D007145;;L'ARDECHE AU LIEU DIT LES TUNNELS;01/01/1991;rivière;4.40633;44.389
2020;Auvergne-Rhône-Alpes;7;FRK2207330D007150;;L'ARDECHE AVAL PONT D'ARC;01/01/1991;rivière;4.41598;44.38245
2020;Auvergne-Rhône-Alpes;7;FRK2207330D007151;;L'ARDECHE AMONT PONT D'ARC;01/07/2015;rivière;4.41442;44.38183
2020;Auvergne-Rhône-Alpes;7;FRK2207334D007272;;LE CHASSEZAC AU MALPAS CORNILLON;01/01/2006;rivière;4.18324;44.40874
2020;Auvergne-Rhône-Alpes;7;FRK2207338D007915;;LE LAC AUX RAMIERS;01/01/1992;lac;4.65647;44.89209
2020;Auvergne-Rhône-Alpes;7;FRK2207348D007070;;L'ARDECHE A LA PLAGE DU VIEUX PONT;01/01/1991;rivière;4.41289;44.54947
2020;Auvergne-Rhône-Alpes;15;FRK1215011D015165;;LA GINESTE;01/01/1992;lac;2.21212;45.08454
2020;Auvergne-Rhône-Alpes;15;FRK1215027D015130;;LAC DE L'ESTANQUIOL;01/01/1991;lac;2.35503;44.72056
2020;Auvergne-Rhône-Alpes;15;FRK1215073D015170;;VALLON DE MALLET;01/01/2006;lac;3.11833;44.91185
2020;Auvergne-Rhône-Alpes;15;FRK1215088D015070;;PUECH DES OUILHES;01/01/1991;lac;2.24883;44.91354
2020;Auvergne-Rhône-Alpes;15;FRK1215092D015010;;VAL;01/01/1991;lac;2.50543;45.44378
2020;Auvergne-Rhône-Alpes;15;FRK1215092D015015;;LA SIAUVE;01/01/1991;lac;2.50098;45.42827
2020;Auvergne-Rhône-Alpes;15;FRK1215103D015290;;LE MAURS;01/01/1999;lac;2.56235;44.79462
2020;Auvergne-Rhône-Alpes;15;FRK1215124D015030;;LAC DE MENET;01/01/1991;lac;2.58461;45.30235
