Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Date du prélèvement;"Résultats ""entérocoques intestinaux""";"Résultats ""Escherichia coli""";Statut du prélèvement
2020;Auvergne-Rhône-Alpes;001;FRK2101010D001530;2020-06-16;15;15;prélèvement de pré-saison
2020;Auvergne-Rhône-Alpes;001;FRK2101010D001530;2020-07-03;15;15;
2020;Auvergne-Rhône-Alpes;001;FRK2101010D001530;2020-07-20;15;15;
2020;Auvergne-Rhône-Alpes;001;FRK2101010D001530;2020-08-04;30;15;
2020;Auvergne-Rhône-Alpes;001;FRK2101010D001530;2020-08-18;15;15;
2020;Auvergne-Rhône-Alpes;001;FRK2101053D001570;2020-06-03;15;15;prélèvement de pré-saison
2020;Auvergne-Rhône-Alpes;001;FRK2101053D001570;2020-06-29;15;15;
2020;Auvergne-Rhône-Alpes;001;FRK2101053D001570;2020-07-13;15;15;
2020;Auvergne-Rhône-Alpes;001;FRK2101053D001570;2020-08-04;30;627;
2020;Auvergne-Rhône-Alpes;001;FRK2101053D001570;2020-08-12;15;77;
2020;Auvergne-Rhône-Alpes;001;FRK2101058D001580;2020-06-16;30;15;prélèvement de pré-saison
2020;Auvergne-Rhône-Alpes;001;FRK2101058D001580;2020-07-03;15;15;
2020;Auvergne-Rhône-Alpes;001;FRK2101058D001580;2020-07-20;15;15;
2020;Auvergne-Rhône-Alpes;001;FRK2101058D001580;2020-08-04;15;15;
2020;Auvergne-Rhône-Alpes;001;FRK2101058D001580;2020-08-18;61;15;
2020;Auvergne-Rhône-Alpes;001;FRK2101087D001600;2020-06-15;15;15;prélèvement de pré-saison
2020;Auvergne-Rhône-Alpes;001;FRK2101087D001600;2020-07-02;15;15;
2020;Auvergne-Rhône-Alpes;001;FRK2101087D001600;2020-07-17;46;15;
2020;Auvergne-Rhône-Alpes;001;FRK2101087D001600;2020-08-05;15;15;
2020;Auvergne-Rhône-Alpes;001;FRK2101087D001600;2020-08-19;15;93;
2020;Auvergne-Rhône-Alpes;001;FRK2101099D001150;2020-06-18;654;15;prélèvement de pré-saison
2020;Auvergne-Rhône-Alpes;001;FRK2101099D001150;2020-07-01;15;30;
