Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Précédent code ;Evolution 2021 vs. 2020;Nom du site de baignade;Date déclaration UE;Type d'eau;Longitude (ETRS 89);Latitude (ETRS 89);;;;;;;;;
2021;Auvergne-Rhône-Alpes;1;FRK2101010D001530;;pas de changement;PLAN D'EAU D'ANGLEFORT;01/07/2019;lac;5.81196000000;45.90462000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;1;FRK2101053D001570;;pas de changement;BOURG EN BRESSE - PLAN D'EAU DU PARC DE LOISIRS DE BOUVENT;01/01/1992;lac;5.26130000000;46.18920000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;1;FRK2101058D001580;;pas de changement;BREGNIER-CORDON - PLAN D'EAU COMMUNAL DE GLANDIEU;01/01/1992;lac;5.60949000000;45.65660000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;1;FRK2101087D001600;;pas de changement;CHARIX - LAC GENIN;01/01/1992;lac;5.69613000000;46.22021000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;1;FRK2101099D001150;;pas de changement;CHAZEY-SUR-AIN - RIVE GAUCHE DE L'AIN EN AMONT DU PONT SUR L'AIN;01/01/1992;rivière;5.23397000000;45.90788000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;1;FRK2101099D001605;;pas de changement;CHAZEY-SUR-AIN - PLAN D'EAU COMMUNAL EN AVAL DU PONT DE CHAZEY;01/01/1992;lac;5.23885000000;45.90240000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;1;FRK2101123D001607;;pas de changement;CORMORANCHE/SAONE PLAN D'EAU DE LA BASE DE LOISIRS LA PIERRE THORION;01/01/1992;lac;4.82520000000;46.25298000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;1;FRK2101133D001311;;baignade nouvellement identifiée;PARC AQUATIQUE - PLAGE DE L’ECOINCON;26/06/2021;rivière;5.77000000000;45.77500000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;1;FRK2101143D001620;;pas de changement;DIVONNE-LES-BAINS - LAC DE DIVONNE;01/01/1992;lac;6.14946000000;46.35402000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;1;FRK2101184D001110;;pas de changement;HAUTECOURT-ROMANECHE - PLAGE DE L'ILE CHAMBOD RIVIERE D'AIN;01/01/1992;rivière;5.43237000000;46.12943000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;1;FRK2101204D001631;;pas de changement;PLAN D'EAU DE LE POIZAT - LALLEYRIAT;01/06/2019;lac;5.71342000000;46.15129000000;;;;;;;;;
2021;Auvergne-Rhône-Alpes;1;FRK2101229D001650;;pas de changement;MALAFRETAZ - PLAN D'EAU DE LA BASE DE PLEIN AIR LA PLAINE TONIQUE;01/01/2003;lac;5.13900000000;46.34089000000;;;;;;;;;
