Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Date de prélèvement;"Résultat ""entérocoques intestinaux""";"Résultat ""Escherichia coli""";Statut du prélèvement
2021;Auvergne-Rhône-Alpes;001;FRK2101010D001530;15/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101010D001530;02/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101010D001530;19/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101010D001530;03/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101010D001530;16/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101053D001570;28/04/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101053D001570;20/05/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101053D001570;10/06/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101053D001570;08/07/2021;15;127;
2021;Auvergne-Rhône-Alpes;001;FRK2101053D001570;29/07/2021;15;30;
2021;Auvergne-Rhône-Alpes;001;FRK2101053D001570;13/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101058D001580;15/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101058D001580;02/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101058D001580;19/07/2021;30;46;
2021;Auvergne-Rhône-Alpes;001;FRK2101058D001580;03/08/2021;15;30;
2021;Auvergne-Rhône-Alpes;001;FRK2101058D001580;16/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101087D001600;14/06/2021;45;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101087D001600;05/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101087D001600;19/07/2021;15;46;
2021;Auvergne-Rhône-Alpes;001;FRK2101087D001600;03/08/2021;15;30;
2021;Auvergne-Rhône-Alpes;001;FRK2101087D001600;17/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101099D001150;14/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101099D001150;02/07/2021;15;30;
2021;Auvergne-Rhône-Alpes;001;FRK2101099D001150;20/07/2021;61;161;
2021;Auvergne-Rhône-Alpes;001;FRK2101099D001150;02/08/2021;61;179;
2021;Auvergne-Rhône-Alpes;001;FRK2101099D001150;16/08/2021;177;828;
2021;Auvergne-Rhône-Alpes;001;FRK2101099D001605;14/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101099D001605;02/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101099D001605;20/07/2021;46;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101099D001605;02/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101099D001605;16/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101123D001607;03/05/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101123D001607;18/05/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101123D001607;03/06/2021;30;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101123D001607;15/06/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101123D001607;05/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101123D001607;26/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101123D001607;05/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101123D001607;17/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101133D001311;09/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101133D001311;02/07/2021;46;312;
2021;Auvergne-Rhône-Alpes;001;FRK2101133D001311;19/07/2021;77;559;
2021;Auvergne-Rhône-Alpes;001;FRK2101133D001311;03/08/2021;77;534;
2021;Auvergne-Rhône-Alpes;001;FRK2101133D001311;16/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101133D001311;02/09/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101143D001620;19/05/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101143D001620;02/06/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101143D001620;18/06/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101143D001620;05/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101143D001620;19/07/2021;30;30;
2021;Auvergne-Rhône-Alpes;001;FRK2101143D001620;03/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101143D001620;17/08/2021;30;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101184D001110;14/06/2021;15;30;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101184D001110;02/07/2021;15;61;
2021;Auvergne-Rhône-Alpes;001;FRK2101184D001110;20/07/2021;30;46;
2021;Auvergne-Rhône-Alpes;001;FRK2101184D001110;02/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101184D001110;16/08/2021;15;46;
2021;Auvergne-Rhône-Alpes;001;FRK2101204D001631;14/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101204D001631;05/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101204D001631;19/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101204D001631;03/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101204D001631;17/08/2021;61;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101229D001650;27/05/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101229D001650;15/06/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101229D001650;05/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101229D001650;20/07/2021;30;61;
2021;Auvergne-Rhône-Alpes;001;FRK2101229D001650;05/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101229D001650;17/08/2021;15;46;
2021;Auvergne-Rhône-Alpes;001;FRK2101239D001320;15/06/2021;15;77;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101239D001320;02/07/2021;15;332;
2021;Auvergne-Rhône-Alpes;001;FRK2101239D001320;19/07/2021;30;253;
2021;Auvergne-Rhône-Alpes;001;FRK2101239D001320;03/08/2021;30;197;
2021;Auvergne-Rhône-Alpes;001;FRK2101239D001320;16/08/2021;15;46;
2021;Auvergne-Rhône-Alpes;001;FRK2101269D001660;14/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101269D001660;05/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101269D001660;19/07/2021;46;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101269D001660;03/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101269D001660;17/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101269D001661;14/06/2021;15;30;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101269D001661;05/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101269D001661;19/07/2021;15;30;
2021;Auvergne-Rhône-Alpes;001;FRK2101269D001661;03/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101269D001661;17/08/2021;15;30;
2021;Auvergne-Rhône-Alpes;001;FRK2101302D001670;15/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101302D001670;02/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101302D001670;19/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101302D001670;03/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101302D001670;16/08/2021;30;46;
2021;Auvergne-Rhône-Alpes;001;FRK2101302D001670;07/09/2021;77;179;
2021;Auvergne-Rhône-Alpes;001;FRK2101304D001130;14/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101304D001130;02/07/2021;30;30;
2021;Auvergne-Rhône-Alpes;001;FRK2101304D001130;20/07/2021;15;127;
2021;Auvergne-Rhône-Alpes;001;FRK2101304D001130;02/08/2021;15;77;
2021;Auvergne-Rhône-Alpes;001;FRK2101304D001130;16/08/2021;160;955;
2021;Auvergne-Rhône-Alpes;001;FRK2101305D001210;15/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101305D001210;05/07/2021;15;215;
2021;Auvergne-Rhône-Alpes;001;FRK2101305D001210;26/07/2021;15;77;
2021;Auvergne-Rhône-Alpes;001;FRK2101305D001210;05/08/2021;46;270;
2021;Auvergne-Rhône-Alpes;001;FRK2101305D001210;17/08/2021;30;144;
2021;Auvergne-Rhône-Alpes;001;FRK2101314D001140;14/06/2021;30;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101314D001140;02/07/2021;30;94;
2021;Auvergne-Rhône-Alpes;001;FRK2101314D001140;20/07/2021;15;251;
2021;Auvergne-Rhône-Alpes;001;FRK2101314D001140;02/08/2021;30;61;
2021;Auvergne-Rhône-Alpes;001;FRK2101314D001140;16/08/2021;127;698;
2021;Auvergne-Rhône-Alpes;001;FRK2101378D001180;14/06/2021;15;94;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101378D001180;02/07/2021;15;61;
2021;Auvergne-Rhône-Alpes;001;FRK2101378D001180;20/07/2021;46;161;
2021;Auvergne-Rhône-Alpes;001;FRK2101378D001180;02/08/2021;15;77;
2021;Auvergne-Rhône-Alpes;001;FRK2101378D001180;16/08/2021;61;292;
2021;Auvergne-Rhône-Alpes;001;FRK2101403D001328;15/06/2021;46;197;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101403D001328;02/07/2021;45;304;
2021;Auvergne-Rhône-Alpes;001;FRK2101403D001328;19/07/2021;15;438;
2021;Auvergne-Rhône-Alpes;001;FRK2101403D001328;03/08/2021;94;509;
2021;Auvergne-Rhône-Alpes;001;FRK2101403D001328;16/08/2021;304;1047;
2021;Auvergne-Rhône-Alpes;001;FRK2101407D001685;15/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101407D001685;02/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101407D001685;22/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101407D001685;03/08/2021;15;30;
2021;Auvergne-Rhône-Alpes;001;FRK2101407D001685;16/08/2021;15;30;
2021;Auvergne-Rhône-Alpes;001;FRK2101426D001690;15/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101426D001690;05/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101426D001690;20/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101426D001690;05/08/2021;61;179;
2021;Auvergne-Rhône-Alpes;001;FRK2101426D001690;17/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101452D001700;15/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;001;FRK2101452D001700;02/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101452D001700;22/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;001;FRK2101452D001700;03/08/2021;15;30;
2021;Auvergne-Rhône-Alpes;001;FRK2101452D001700;16/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;003;FRK1103207D003042;14/06/2021;30;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;003;FRK1103207D003042;21/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;003;FRK1103207D003042;27/07/2021;61;77;
2021;Auvergne-Rhône-Alpes;003;FRK1103207D003042;11/08/2021;108;61;
2021;Auvergne-Rhône-Alpes;003;FRK1103207D003042;25/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;003;FRK1103221D003050;15/06/2021;15;46;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;003;FRK1103221D003050;08/07/2021;46;109;
2021;Auvergne-Rhône-Alpes;003;FRK1103221D003050;20/07/2021;46;45;
2021;Auvergne-Rhône-Alpes;003;FRK1103221D003050;04/08/2021;45;94;
2021;Auvergne-Rhône-Alpes;003;FRK1103221D003050;19/08/2021;15;143;
2021;Auvergne-Rhône-Alpes;003;FRK1103310D003003;14/06/2021;30;270;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;003;FRK1103310D003003;09/08/2021;92;930;
2021;Auvergne-Rhône-Alpes;003;FRK1103310D003003;17/08/2021;350;109;
2021;Auvergne-Rhône-Alpes;003;FRK1103310D003003;24/08/2021;61;289;
2021;Auvergne-Rhône-Alpes;003;FRK1103312D003090;16/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;003;FRK1103312D003090;07/07/2021;15;30;
2021;Auvergne-Rhône-Alpes;003;FRK1103312D003090;22/07/2021;15;30;
2021;Auvergne-Rhône-Alpes;003;FRK1103312D003090;04/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;003;FRK1103312D003090;17/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;007;FRK2207011D007355;11/06/2021;46;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;007;FRK2207011D007355;09/07/2021;289;161;
2021;Auvergne-Rhône-Alpes;007;FRK2207011D007355;19/07/2021;30;144;
2021;Auvergne-Rhône-Alpes;007;FRK2207011D007355;03/08/2021;30;15;
2021;Auvergne-Rhône-Alpes;007;FRK2207011D007355;16/08/2021;94;726;
2021;Auvergne-Rhône-Alpes;007;FRK2207012D007560;15/06/2021;15;45;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;007;FRK2207012D007560;05/07/2021;15;30;
2021;Auvergne-Rhône-Alpes;007;FRK2207012D007560;20/07/2021;30;77;
2021;Auvergne-Rhône-Alpes;007;FRK2207012D007560;02/08/2021;15;30;
2021;Auvergne-Rhône-Alpes;007;FRK2207012D007560;17/08/2021;15;126;
2021;Auvergne-Rhône-Alpes;007;FRK2207023D007085;14/06/2021;15;30;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;007;FRK2207023D007085;15/07/2021;30;77;
2021;Auvergne-Rhône-Alpes;007;FRK2207023D007085;27/07/2021;15;94;
2021;Auvergne-Rhône-Alpes;007;FRK2207023D007085;09/08/2021;61;144;
2021;Auvergne-Rhône-Alpes;007;FRK2207023D007085;24/08/2021;15;46;
2021;Auvergne-Rhône-Alpes;007;FRK2207031D007275;15/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;007;FRK2207031D007275;15/07/2021;61;94;
2021;Auvergne-Rhône-Alpes;007;FRK2207031D007275;26/07/2021;61;15;
2021;Auvergne-Rhône-Alpes;007;FRK2207031D007275;10/08/2021;93;212;
2021;Auvergne-Rhône-Alpes;007;FRK2207031D007275;23/08/2021;15;30;
2021;Auvergne-Rhône-Alpes;007;FRK2207031D007280;15/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;007;FRK2207031D007280;15/07/2021;15;61;
2021;Auvergne-Rhône-Alpes;007;FRK2207031D007280;26/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;007;FRK2207031D007280;10/08/2021;30;15;
2021;Auvergne-Rhône-Alpes;007;FRK2207031D007280;23/08/2021;15;30;
2021;Auvergne-Rhône-Alpes;007;FRK2207050D007260;15/06/2021;15;46;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;007;FRK2207050D007260;15/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;007;FRK2207050D007260;26/07/2021;15;15;
2021;Auvergne-Rhône-Alpes;007;FRK2207050D007260;10/08/2021;15;30;
2021;Auvergne-Rhône-Alpes;007;FRK2207050D007260;23/08/2021;15;110;
2021;Auvergne-Rhône-Alpes;007;FRK2207058D007456;15/06/2021;46;606;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;007;FRK2207058D007456;15/07/2021;144;930;
2021;Auvergne-Rhône-Alpes;007;FRK2207058D007456;26/07/2021;61;160;
2021;Auvergne-Rhône-Alpes;007;FRK2207058D007456;10/08/2021;110;1189;
2021;Auvergne-Rhône-Alpes;007;FRK2207058D007456;23/08/2021;77;46;
2021;Auvergne-Rhône-Alpes;007;FRK2207061D007092;14/06/2021;15;15;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;007;FRK2207061D007092;13/07/2021;127;1021;
2021;Auvergne-Rhône-Alpes;007;FRK2207061D007092;27/07/2021;30;15;
2021;Auvergne-Rhône-Alpes;007;FRK2207061D007092;09/08/2021;15;77;
2021;Auvergne-Rhône-Alpes;007;FRK2207061D007092;24/08/2021;30;15;
2021;Auvergne-Rhône-Alpes;007;FRK2207064D007432;15/06/2021;15;61;Prélèvement de pré-saison
2021;Auvergne-Rhône-Alpes;007;FRK2207064D007432;05/07/2021;127;127;
2021;Auvergne-Rhône-Alpes;007;FRK2207064D007432;20/07/2021;30;77;
2021;Auvergne-Rhône-Alpes;007;FRK2207064D007432;02/08/2021;46;144;
2021;Auvergne-Rhône-Alpes;007;FRK2207064D007432;17/08/2021;15;15;
2021;Auvergne-Rhône-Alpes;007;FRK2207071D007910;11/06/2021;15;15;Prélèvement de pré-saison
