Saison balnéaire;Région;Département;Origine eau;Code unique d'identification du site de baignade;Classement;Statut relatif à la mise en œuvre du contrôle sanitaire;Statut relatif au calendrier d'échantillonnage;Contrainte géographique;Lien vers le document de synthèse du profil de baignade
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101010D001530;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001165&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101053D001570;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001141&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101058D001580;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001129&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101087D001600;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001158&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101099D001150;Bon;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001130&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101099D001605;Bon;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001131&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101123D001607;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001143&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101133D001311;Non classé;Site nouvellement identifié;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001751&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101143D001620;Bon;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001155&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101184D001110;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001144&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101204D001631;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001749&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101229D001650;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001139&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101239D001320;Bon;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001134&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101269D001660;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001156&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101269D001661;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001750&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101302D001670;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001136&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101304D001130;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001147&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101305D001210;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001148&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101314D001140;Excellent;Site concerné par un gap dans la mise en oeuvre du contrôle sanitaire;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001149&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101378D001180;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001151&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101403D001328;Bon;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001140&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101407D001685;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001137&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101426D001690;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001154&codeDept=001
2022;Auvergne-Rhône-Alpes;1;Eau douce;FRK2101452D001700;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001138&codeDept=001
2022;Auvergne-Rhône-Alpes;3;Eau douce;FRK1103190D003036;Non classé;Site nouvellement identifié;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=000731&codeDept=003
2022;Auvergne-Rhône-Alpes;3;Eau douce;FRK1103207D003042;Non classé;Site concerné par un gap dans la mise en oeuvre du contrôle sanitaire;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=000740&codeDept=003
2022;Auvergne-Rhône-Alpes;3;Eau douce;FRK1103221D003050;Excellent;Site contrôlé sur toute la période d'évaluation;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=000738&codeDept=003
2022;Auvergne-Rhône-Alpes;3;Eau douce;FRK1103288D003065;Non classé;Site concerné par un gap dans la mise en oeuvre du contrôle sanitaire;Non mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=000728&codeDept=003
2022;Auvergne-Rhône-Alpes;3;Eau douce;FRK1103310D003003;Non classé;Site concerné par un changement de qualité d'eau;Mis en oeuvre;Non;http://baignades.sante.gouv.fr/baignades/profil.do?idSite=001039&codeDept=003
