Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Précédent code unique d'identification du site de baignade;Evolution 2022 vs. 2021;Nom du site de baignade;Code INSEE de la commune;Nom de la commune;Date déclaration UE;Type d'eau;Longitude (ETRS 89);Latitude (ETRS 89)
2022;Auvergne-Rhône-Alpes;1;FRK2101010D001530;;Pas de changement notable;PLAN DEAU DANGLEFORT;1010;ANGLEFORT;01/07/2019;Lac;5,81195997437;45,90461858521
2022;Auvergne-Rhône-Alpes;1;FRK2101053D001570;;Pas de changement notable;BOURG EN BRESSE - PLAN DEAU DU PARC DE LOISIRS DE BOUVENT;1053;BOURG EN BRESSE;01/01/1992;Lac;5,26129830410;46,18920188922
2022;Auvergne-Rhône-Alpes;1;FRK2101058D001580;;Pas de changement notable;BREGNIER-CORDON - PLAN DEAU COMMUNAL DE GLANDIEU;1058;BREGNIER CORDON;01/01/1992;Lac;5,60948518839;45,65660355498
2022;Auvergne-Rhône-Alpes;1;FRK2101087D001600;;Pas de changement notable;CHARIX - LAC GENIN;1087;CHARIX;01/01/1992;Lac;5,69612885908;46,22020927235
2022;Auvergne-Rhône-Alpes;1;FRK2101099D001150;;Pas de changement notable;CHAZEY-SUR-AIN - RIVE GAUCHE DE LAIN EN AMONT DU PONT SUR LAIN;1099;CHAZEY SUR AIN;01/01/1992;Rivière;5,23397216590;45,90788407814
2022;Auvergne-Rhône-Alpes;1;FRK2101099D001605;;Pas de changement notable;CHAZEY-SUR-AIN - PLAN DEAU COMMUNAL EN AVAL DU PONT DE CHAZEY;1099;CHAZEY SUR AIN;01/01/1992;Lac;5,23884672802;45,90240056363
2022;Auvergne-Rhône-Alpes;1;FRK2101123D001607;;Pas de changement notable;CORMORANCHE SAONE PLAN DEAU DE LA BASE DE LOISIRS LA PIERRE THORION;1123;CORMORANCHE SUR SAONE;01/01/1992;Lac;4,82520390319;46,25298419198
2022;Auvergne-Rhône-Alpes;1;FRK2101133D001311;;Pas de changement notable;PARC AQUATIQUE - PLAGE DE LECOINCON;1133;CRESSIN ROCHEFORT;26/06/2021;Rivière;5,77000533372;45,77506572004
2022;Auvergne-Rhône-Alpes;1;FRK2101143D001620;;Pas de changement notable;DIVONNE-LES-BAINS - LAC DE DIVONNE;1143;DIVONNE LES BAINS;01/01/1992;Lac;6,14946355436;46,35401680196
2022;Auvergne-Rhône-Alpes;1;FRK2101184D001110;;Pas de changement notable;HAUTECOURT-ROMANECHE - PLAGE DE LILE CHAMBOD RIVIERE DAIN;1184;HAUTECOURT ROMANECHE;01/01/1992;Rivière;5,43237199412;46,12942546162
2022;Auvergne-Rhône-Alpes;1;FRK2101204D001631;;Pas de changement notable;PLAN DEAU DE LE POIZAT - LALLEYRIAT;1204;POIZAT LALLEYRIAT;01/06/2019;Lac;5,71341983596;46,15129372272
2022;Auvergne-Rhône-Alpes;1;FRK2101229D001650;;Pas de changement notable;MALAFRETAZ - PLAN DEAU DE LA BASE DE PLEIN AIR LA PLAINE TONIQUE;1229;MALAFRETAZ;01/01/2003;Lac;5,13900099347;46,34088707455
2022;Auvergne-Rhône-Alpes;1;FRK2101239D001320;;Pas de changement notable;MASSIGNIEU DE RIVES - PLAGE DU LIT AU ROI CANAL DU RHONE;1239;MASSIGNIEU DE RIVES;01/01/1992;Rivière;5,76904151978;45,76868296841
2022;Auvergne-Rhône-Alpes;1;FRK2101269D001660;;Pas de changement notable;NANTUA - PLAGE DU STADE NAUTIQUE LAC DE NANTUA;1269;NANTUA;01/01/1992;Lac;5,59743392609;46,16149259658
2022;Auvergne-Rhône-Alpes;1;FRK2101269D001661;;Pas de changement notable;LAC DE NANTUA -  PLAGE DE LA COLONNE;1269;NANTUA;29/06/2019;Lac;5,59756954257;46,15504753438
2022;Auvergne-Rhône-Alpes;1;FRK2101302D001670;;Pas de changement notable;POLLIEU - PLAGE DU LAC DE BARTERAND;1302;POLLIEU;01/01/1992;Lac;5,74636701492;45,78677151773
2022;Auvergne-Rhône-Alpes;1;FRK2101304D001130;;Pas de changement notable;PONT DAIN - RIVE GAUCHE DE LAIN EN AMONT DU PONT SUR LAIN;1304;PONT D AIN;01/01/1992;Rivière;5,33847764093;46,04781410899
2022;Auvergne-Rhône-Alpes;1;FRK2101305D001210;;Pas de changement notable;PONT-DE-VAUX - RIVE GAUCHE DE LA SAONE EN AVAL DU PONT DE FLEURVILLE;1305;PONT DE VAUX;01/01/1992;Rivière;4,89694576693;46,44726021969
2022;Auvergne-Rhône-Alpes;1;FRK2101314D001140;;Pas de changement notable;PRIAY - RIVE GAUCHE DE LAIN EN AMONT DU PONT;1314;PRIAY;01/01/1992;Rivière;5,29650873935;46,00480854616
2022;Auvergne-Rhône-Alpes;1;FRK2101378D001180;;Pas de changement notable;ST-MAURICE-DE-GOURDANS - RIVE DROITE DE LAIN CAMPING;1378;SAINT MAURICE DE GOURDANS;01/07/2010;Rivière;5,18732914251;45,80759581277
2022;Auvergne-Rhône-Alpes;1;FRK2101403D001328;;Pas de changement notable;SERRIERES DE BRIORD - PLAGE DU POINT VERT RIVE DROITE DU RHONE;1403;SERRIERES DE BRIORD;01/01/1999;Rivière;5,42654313315;45,81734646216
2022;Auvergne-Rhône-Alpes;1;FRK2101407D001685;;Pas de changement notable;SEYSSEL - PLAN DEAU LES GOUILLES;1407;SEYSSEL;01/01/1992;Lac;5,83315199977;45,94927830749
2022;Auvergne-Rhône-Alpes;1;FRK2101426D001690;;Pas de changement notable;VAL-REVERMONT - PLAN DEAU DE LA GRANGE DU PIN;1426;VAL REVERMONT;01/01/1992;Lac;5,35620913985;46,30420830884
2022;Auvergne-Rhône-Alpes;1;FRK2101452D001700;;Pas de changement notable;VIRIEU LE GRAND - LAC DE VIRIEU;1452;VIRIEU LE GRAND;01/01/1992;Lac;5,64162774152;45,82910543988
2022;Auvergne-Rhône-Alpes;3;FRK1103190D003036;;Site nouvellement identifié;MOULINS PLAGE ALLIER;3190;MOULINS;01/07/2022;Rivière;3,32532342196;46,55879601872
2022;Auvergne-Rhône-Alpes;3;FRK1103207D003042;;Pas de changement notable;PLAN DEAU COMMUNAL;3207;PIERREFITTE SUR LOIRE;01/01/1996;Lac;3,80776055399;46,50605272381
2022;Auvergne-Rhône-Alpes;3;FRK1103221D003050;;Pas de changement notable;ETANG DE ST-BONNET;3221;SAINT BONNET TRONCAIS;01/01/1991;Lac;2,68832719990;46,65523498157
2022;Auvergne-Rhône-Alpes;3;FRK1103288D003065;;Pas de changement notable;ETANG DHERCULAT;3288;TREIGNAT;01/01/1991;Lac;2,36581513674;46,35644129744
2022;Auvergne-Rhône-Alpes;3;FRK1103310D003003;;Pas de changement notable;PLAGE DES CELESTINS;3310;VICHY;01/07/2010;Rivière;3,42005792509;46,11911564561
2022;Auvergne-Rhône-Alpes;3;FRK1103312D003090;;Pas de changement notable;ETANG DE VIEURE;3312;VIEURE;01/01/1991;Lac;2,91058078762;46,50426018421
2022;Auvergne-Rhône-Alpes;7;FRK2207011D007355;;Pas de changement notable;LE MAS AU PLAN DEAU DU PAL;7011;VALLEES D ANTRAIGUES ASPERJOC;01/01/1991;Rivière;4,35962496260;44,72040113808
2022;Auvergne-Rhône-Alpes;7;FRK2207012D007560;;Pas de changement notable;LEYSSE A LA PLAGE DARCENS;7012;ARCENS;01/01/2001;Rivière;4,32513408468;44,90011655209
2022;Auvergne-Rhône-Alpes;7;FRK2207023D007085;;Pas de changement notable;LARDECHE AU PONT DE BALAZUC;7023;BALAZUC;01/01/1991;Rivière;4,37095578809;44,51152318352
2022;Auvergne-Rhône-Alpes;7;FRK2207031D007275;;Pas de changement notable;LE CHASSEZAC A LA PLAGE DE MAZET;7031;BERRIAS ET CASTELJAU;01/07/2010;Rivière;4,19781096080;44,39588716426
2022;Auvergne-Rhône-Alpes;7;FRK2207031D007280;;Pas de changement notable;LE CHASSEZAC A LA PLAGE DE CHAULET;7031;BERRIAS ET CASTELJAU;01/07/2010;Rivière;4,21662541965;44,40545798646
2022;Auvergne-Rhône-Alpes;7;FRK2207050D007260;;Pas de changement notable;LE CHASSEZAC AU PONT DU NASSIER;7050;CHAMBONAS;01/07/2015;Rivière;4,10968680260;44,42326032062
2022;Auvergne-Rhône-Alpes;7;FRK2207058D007456;;Pas de changement notable;LA LIGNE AU CAMPING LES RANCHISSES;7058;CHASSIERS;01/01/2006;Rivière;4,28503152063;44,56139222710
2022;Auvergne-Rhône-Alpes;7;FRK2207061D007092;;Pas de changement notable;LARDECHE A LA PLAGE PRIVEE ISLA COOL DOUCE;7061;CHAUZON;01/01/2003;Rivière;4,35006474045;44,47502869889
2022;Auvergne-Rhône-Alpes;7;FRK2207064D007432;;Pas de changement notable;LEYRIEUX A LA PLAGE DU CHAMBAUD;7064;CHEYLARD;01/07/2012;Rivière;4,42028211106;44,91655450932
2022;Auvergne-Rhône-Alpes;7;FRK2207071D007910;;Pas de changement notable;LE LAC DE COUCOURON;7071;COUCOURON;01/01/1991;Lac;3,96050937018;44,80360767930
2022;Auvergne-Rhône-Alpes;7;FRK2207079D007605;;Pas de changement notable;LE DOUX A LA PLAGE DES SALINS;7079;DESAIGNES;01/01/1991;Rivière;4,51264403376;44,99864348566
2022;Auvergne-Rhône-Alpes;7;FRK2207080D007405;;Pas de changement notable;LE LAC DE DEVESSET;7080;DEVESSET;01/01/1991;Lac;4,39395576807;45,05158627235
2022;Auvergne-Rhône-Alpes;7;FRK2207082D007505;;Pas de changement notable;LA DORNE A LA PLAGE DE LA GANDOLE;7082;DORNAS;01/01/1991;Rivière;4,34564881742;44,85002883255
2022;Auvergne-Rhône-Alpes;7;FRK2207083D007450;;Pas de changement notable;LEYRIEUX AU LIEU DIT CELAS;7083;DUNIERE SUR EYRIEUX;01/01/1999;Rivière;4,66576915607;44,82151561286
2022;Auvergne-Rhône-Alpes;7;FRK2207096D007540;;Pas de changement notable;LA GLUEYRE A LA PLAGE DE FONTUGNE;7096;GLUIRAS;01/07/2010;Rivière;4,56554436317;44,82235396225
2022;Auvergne-Rhône-Alpes;7;FRK2207107D007030;;Pas de changement notable;LE LIGNON AU LIEU DIT LA TURBINE;7107;JAUJAC;01/07/2010;Rivière;4,25507876353;44,63987951848
2022;Auvergne-Rhône-Alpes;7;FRK2207110D007220;;Pas de changement notable;LA BEAUME A LA PLAGE DU PETIT ROCHER;7110;JOYEUSE;01/01/1991;Rivière;4,23731976715;44,48635393060
2022;Auvergne-Rhône-Alpes;7;FRK2207114D007602;;Pas de changement notable;LE DOUX A LA PLAGE DE LABATIE;7114;LABATIE D ANDAURE;01/01/1994;Rivière;4,49596239972;45,02701985549
2022;Auvergne-Rhône-Alpes;7;FRK2207115D007235;;Pas de changement notable;LA BEAUME A LA PLAGE DU VILLAGE DE LABEAUME;7115;LABEAUME;01/01/1991;Rivière;4,30777717830;44,44840254106
2022;Auvergne-Rhône-Alpes;7;FRK2207115D007236;;Pas de changement notable;LA BEAUME A LA PLAGE DE PEYROCHE;7115;LABEAUME;01/07/2010;Rivière;4,32900564923;44,45002129300
2022;Auvergne-Rhône-Alpes;7;FRK2207119D007905;;Pas de changement notable;LE LAC DISSARLES;7119;LAC D ISSARLES;01/01/1991;Lac;4,06456053170;44,81645190900
2022;Auvergne-Rhône-Alpes;7;FRK2207123D007501;;Pas de changement notable;LA SALIOUSE A LA PLAGE LA BACHASSE;7123;LACHAPELLE SOUS CHANEAC;01/07/2010;Rivière;4,32980226823;44,94740812973
2022;Auvergne-Rhône-Alpes;7;FRK2207126D007330;;Pas de changement notable;LIBIE AU TROU DE LA LUNE;7126;LAGORCE;01/07/2019;Rivière;4,44289257343;44,45737665181
2022;Auvergne-Rhône-Alpes;7;FRK2207127D007028;;Pas de changement notable;LARDECHE A LA PLAGE DE LA CLAPE;7127;LALEVADE D ARDECHE;01/01/2003;Rivière;4,32598687886;44,65150449954
2022;Auvergne-Rhône-Alpes;7;FRK2207129D007610;;Pas de changement notable;LE DOUX AU LIEU DIT LE RETOURTOUR;7129;LAMASTRE;01/01/1991;Rivière;4,56271380865;44,98945941853
2022;Auvergne-Rhône-Alpes;7;FRK2207146D007755;;Pas de changement notable;LE MEZAYON AU LIEU DIT LA NEUVE;7146;LYAS;01/07/2010;Rivière;4,58358187016;44,74359281190
