Saison balnéaire;Région;Département;Code unique d'identification du site de baignade;Type d'événement;Date de début;Date de fin;Mesures de gestion
2023;Auvergne-Rhône-Alpes;001;FRK2101010D001530;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101053D001570;Saison balnéaire;13/05/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101058D001580;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101087D001600;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101099D001150;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101099D001605;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101123D001607;Saison balnéaire;13/05/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101133D001311;Saison balnéaire;16/06/2023;10/09/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101143D001620;Saison balnéaire;17/06/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101184D001110;Saison balnéaire;27/05/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101204D001631;Saison balnéaire;07/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101229D001650;Saison balnéaire;03/06/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101239D001320;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101269D001660;Saison balnéaire;01/07/2023;27/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101269D001661;Saison balnéaire;01/07/2023;27/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101302D001670;Saison balnéaire;17/06/2023;15/09/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101304D001130;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101305D001210;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101314D001140;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101378D001180;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101403D001328;Saison balnéaire;08/07/2023;27/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101407D001685;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101426D001690;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;001;FRK2101452D001700;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;003;FRK1103165D003001;Interdiction sanitaire;18/08/2023;18/08/2023;Présence de cyanobactéries toxinogènes (biovolume > 1 mm3/L. Microcystines : 0,81 µg/l (limite de qualité : 0,3 µg/l)
2023;Auvergne-Rhône-Alpes;003;FRK1103165D003001;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;003;FRK1103190D003036;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;003;FRK1103207D003042;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;003;FRK1103207D003042;Interdiction non sanitaire;04/07/2023;31/08/2023;Absence de surveillance
2023;Auvergne-Rhône-Alpes;003;FRK1103221D003050;Interdiction sanitaire;05/07/2023;24/07/2023;Non-confomite microbiologique
2023;Auvergne-Rhône-Alpes;003;FRK1103221D003050;Interdiction sanitaire;09/08/2023;03/09/2023;Présence de cyanobactéries toxinogènes  Taux de microcystines =0,5 µg/l (> valeurs limites : 0,3 µg/l)
2023;Auvergne-Rhône-Alpes;003;FRK1103221D003050;Saison balnéaire;08/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;003;FRK1103221D003050;Prolifération de cyanobactéries;20/06/2023;24/07/2023;Taux de cyanobactéries toxinogènes > 1 mm3/L et détection de microcystines > 0,30
2023;Auvergne-Rhône-Alpes;003;FRK1103310D003003;Interdiction sanitaire;12/07/2023;12/07/2023;Orages du 11/07.
2023;Auvergne-Rhône-Alpes;003;FRK1103310D003003;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;003;FRK1103312D003090;Interdiction sanitaire;12/07/2023;25/07/2023;Présence d'anatoxine - a.
2023;Auvergne-Rhône-Alpes;003;FRK1103312D003090;Saison balnéaire;01/07/2023;15/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207011D007355;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207012D007560;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207023D007085;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207031D007275;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207031D007280;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207050D007260;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207058D007456;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207061D007092;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207064D007432;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207071D007910;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207079D007605;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207080D007405;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207082D007505;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207096D007540;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207107D007030;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207110D007220;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207114D007602;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207115D007235;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207115D007236;Interdiction sanitaire;15/06/2023;31/12/2023;"Site classé de qualité """"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""insuffisante"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""" durant 7 années consécutives. Baignade interdite par arrêté préfectoral N°07-2023-06-15-00015."
2023;Auvergne-Rhône-Alpes;007;FRK2207115D007236;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207119D007905;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207123D007501;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207126D007330;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207127D007028;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207129D007610;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207146D007755;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207167D007445;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207189D007001;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207192D007601;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207199D007004;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207201D007100;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207201D007123;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207237D007455;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207247D007791;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207259D007180;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207262D007001;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207267D007545;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207268D007170;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207268D007175;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207269D007502;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207304D007851;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207306D007789;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207315D007342;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207322D007010;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207330D007145;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207330D007150;Interdiction sanitaire;16/08/2023;17/08/2023;Prélèvement auto-contrôle non conforme : présence de bactéries d'origine fécale en excès.
2023;Auvergne-Rhône-Alpes;007;FRK2207330D007150;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207330D007151;Interdiction sanitaire;16/08/2023;17/08/2023;Prélèvement auto-contrôle non conforme : présence de bactéries d'origine fécale en excès.
2023;Auvergne-Rhône-Alpes;007;FRK2207330D007151;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207334D007272;Interdiction sanitaire;30/07/2023;01/08/2023;Dysfonctionnement sur le réseau d'assainissement en raison des violents orages. Réouverture prévue le 01/08/23 matin.
2023;Auvergne-Rhône-Alpes;007;FRK2207334D007272;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207338D007915;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;007;FRK2207348D007070;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;015;FRK1215011D015165;Interdiction sanitaire;24/08/2023;30/08/2023;Présence importante de toxines émises par les cyanobactéries. INTERDICTION DE LA BAIGNADE ET DES ACTIVITES NAUTIQUES. Recommandation de ne pas consommer les poissons pêchés. Consulter lesrecommandations de la fiche d'information de niveau 2 sur le site
2023;Auvergne-Rhône-Alpes;015;FRK1215011D015165;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;015;FRK1215027D015130;Interdiction sanitaire;07/07/2023;04/09/2023;Présence importante de toxines émises par les cyanobactéries. INTERDICTION DE LA BAIGNADE ET DES ACTIVITES NAUTIQUES. Recommandation de ne pas consommer les poissons pêchés.
2023;Auvergne-Rhône-Alpes;015;FRK1215027D015130;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;015;FRK1215073D015170;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;015;FRK1215088D015070;Interdiction sanitaire;07/08/2023;13/08/2023;Interdiction de la baignade en raison de la suspicion de cyanobactéries (bloom algal), jusqu'à l'obtention de résultats conformes. Interdiction de la baignade et des activités nautiques suite à un nouvel épisode d'efflorescence de cyanobactéries toxinogènes sur le site à compter du 11/08.
2023;Auvergne-Rhône-Alpes;015;FRK1215088D015070;Interdiction sanitaire;19/08/2023;31/08/2023;Présence importante de toxines émises par les cyanobactéries. INTERDICTION DE LA BAIGNADE ET DES ACTIVITES NAUTIQUES. Recommandation de ne pas consommer les poissons pêchés.
2023;Auvergne-Rhône-Alpes;015;FRK1215088D015070;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;015;FRK1215092D015010;Interdiction sanitaire;24/08/2023;30/08/2023;Présence importante de toxines émises par les cyanobactéries. INTERDICTION DE LA BAIGNADE ET DES ACTIVITES NAUTIQUES. Recommandation de ne pas consommer les poissons pêchés. Consulter les recommandations de la fiche d'information de niveau 2 sur le site
2023;Auvergne-Rhône-Alpes;015;FRK1215092D015010;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;015;FRK1215092D015015;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;015;FRK1215124D015030;Interdiction sanitaire;20/06/2023;04/09/2023;Présence importante de toxines émises par les cyanobactéries. INTERDICTION DE LA BAIGNADE ET DES ACTIVITES NAUTIQUES. Recommandation de ne pas consommer les poissons pêchés.
2023;Auvergne-Rhône-Alpes;015;FRK1215124D015030;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;015;FRK1215153D015050;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;015;FRK1215189D015080;Interdiction sanitaire;08/08/2023;11/08/2023;Interdiction de la baignade en raison de la suspicion de cyanobactéries (bloom algal), jusqu'à l'obtention de résultats conformes
2023;Auvergne-Rhône-Alpes;015;FRK1215189D015080;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;015;FRK1215189D015085;Interdiction sanitaire;08/08/2023;14/08/2023;Interdiction de la baignade en raison de la suspicion de cyanobactéries (bloom algal), jusqu'à l'obtention de résultats conformes
2023;Auvergne-Rhône-Alpes;015;FRK1215189D015085;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;015;FRK1215240D015020;Interdiction sanitaire;21/07/2023;26/07/2023;Présence importante de toxines émises par les cyanobactéries. INTERDICTION DE LA BAIGNADE ET DES ACTIVITES NAUTIQUES. Recommandation de ne pas consommer les poissons pêchés.
2023;Auvergne-Rhône-Alpes;015;FRK1215240D015020;Interdiction sanitaire;24/08/2023;04/09/2023;Présence importante de toxines émises par les cyanobactéries. INTERDICTION DE LA BAIGNADE ET DES ACTIVITES NAUTIQUES. Recommandation de ne pas consommer les poissons pêchés. Consulter les recommandations de la fiche d'information de niveau 2 sur le site
2023;Auvergne-Rhône-Alpes;015;FRK1215240D015020;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;015;FRK1215243D015240;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;015;FRK1215260D015110;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;015;FRK1215260D015111;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326035D026370;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326037D026940;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326063D026715;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326086D026960;Saison balnéaire;18/05/2023;17/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326113D026217;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326113D026219;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326113D026268;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326167D026210;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326183D026255;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326192D026520;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326198D026970;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326215D026900;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326235D026920;Saison balnéaire;17/06/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326289D026240;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326289D026245;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326295D026990;Saison balnéaire;17/06/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326296D026347;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326299D026267;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326301D026910;Saison balnéaire;27/05/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326301D026915;Saison balnéaire;27/05/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326344D026415;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;026;FRK2326368D026230;Saison balnéaire;01/07/2023;03/09/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438006D038300;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438082D038001;Interdiction sanitaire;30/06/2023;04/07/2023;Interdiction par arrêté municipal du 04/07 au 06/07.
2023;Auvergne-Rhône-Alpes;038;FRK2438082D038001;Saison balnéaire;17/06/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438106D038031;Saison balnéaire;01/07/2023;31/08/2023;
2023;Auvergne-Rhône-Alpes;038;FRK2438128D038111;Saison balnéaire;08/07/2023;20/08/2023;
